Date,Open,High,Low,Close,Adj Close,Volume
2009-06-25,1.126250,1.210417,1.126250,1.205556,1.173737,2577600
2009-06-26,1.195278,1.213056,1.177361,1.199306,1.167652,13104000
2009-06-29,1.208333,1.236111,1.191389,1.233333,1.200781,8690400
2009-06-30,1.233333,1.243333,1.176389,1.203889,1.172114,17128800
2009-07-01,1.218472,1.252917,1.213611,1.216806,1.184691,12038400
2009-07-02,1.169306,1.169861,1.115972,1.116389,1.086924,29275200
2009-07-06,1.085556,1.120694,1.074306,1.119444,1.089898,22572000
2009-07-07,1.114028,1.116806,1.049722,1.049722,1.022016,29016000
2009-07-08,1.070139,1.076528,1.013889,1.050972,1.023233,49824000
2009-07-09,1.069444,1.081667,1.046250,1.057500,1.029589,45892800
2009-07-10,1.038611,1.065694,1.026389,1.047361,1.019718,51199200
2009-07-13,1.060000,1.125694,1.035000,1.123889,1.094226,43675200
2009-07-14,1.135278,1.146944,1.110278,1.146944,1.116672,38700000
2009-07-15,1.189028,1.252361,1.184444,1.245000,1.212141,36921600
2009-07-16,1.232500,1.292500,1.226250,1.278333,1.244594,46396800
2009-07-17,1.274583,1.284722,1.254028,1.276111,1.242430,27374400
2009-07-20,1.301944,1.325139,1.281250,1.314861,1.280157,37195200
2009-07-21,1.348889,1.351250,1.289167,1.336667,1.301388,45237600
2009-07-22,1.310833,1.359583,1.308611,1.334167,1.298954,37634400
2009-07-23,1.338194,1.441667,1.337083,1.422778,1.385226,55022400
2009-07-24,1.400000,1.444028,1.381528,1.441389,1.403346,60127200
2009-07-27,1.436944,1.456667,1.410694,1.453611,1.415245,44935200
2009-07-28,1.424028,1.455000,1.397639,1.441250,1.403211,46476000
2009-07-29,1.413611,1.435556,1.394167,1.422083,1.384550,55908000
2009-07-30,1.476528,1.517639,1.464861,1.466528,1.427821,55886400
2009-07-31,1.468056,1.503611,1.454861,1.470833,1.432013,54871200
2009-08-03,1.522917,1.550417,1.496944,1.544861,1.504087,39600000
2009-08-04,1.525972,1.565278,1.516944,1.559722,1.518555,34984800
2009-08-05,1.563472,1.565833,1.506806,1.548611,1.507738,62568000
2009-08-06,1.567917,1.572639,1.500000,1.519583,1.479476,69249600
2009-08-07,1.570139,1.618472,1.544306,1.579861,1.538163,44042400
2009-08-10,1.559444,1.581389,1.538194,1.568889,1.527481,46512000
2009-08-11,1.550694,1.552500,1.500000,1.509167,1.469335,48729600
2009-08-12,1.502917,1.594861,1.502917,1.561667,1.520449,71791200
2009-08-13,1.583333,1.598472,1.537361,1.596944,1.554795,100713600
2009-08-14,1.598194,1.598194,1.508194,1.558750,1.517609,72115200
2009-08-17,1.469583,1.472639,1.435833,1.442917,1.404834,84139200
2009-08-18,1.455694,1.493333,1.446389,1.482500,1.443372,53431200
2009-08-19,1.442917,1.531806,1.440694,1.516528,1.476502,61682400
2009-08-20,1.520278,1.574306,1.513889,1.566111,1.524776,51573600
2009-08-21,1.602639,1.664028,1.594028,1.653611,1.609967,61516800
2009-08-24,1.675694,1.703333,1.638333,1.653333,1.609696,60307200
2009-08-25,1.676111,1.713056,1.655139,1.664306,1.620379,85644000
2009-08-26,1.649861,1.688750,1.634444,1.663889,1.619974,83944800
2009-08-27,1.660694,1.692500,1.607361,1.679306,1.634984,111304800
2009-08-28,1.717639,1.723056,1.641528,1.673333,1.629168,84880800
2009-08-31,1.625694,1.635417,1.600694,1.632222,1.589142,103269600
2009-09-01,1.608056,1.666667,1.513333,1.520694,1.480558,137505600
2009-09-02,1.503611,1.533194,1.493750,1.506250,1.466495,67384800
2009-09-03,1.530833,1.547778,1.495556,1.539583,1.498948,53100000
2009-09-04,1.551528,1.608333,1.538472,1.606944,1.564531,63266400
2009-09-08,1.653750,1.654444,1.623333,1.649167,1.605640,63734400
2009-09-09,1.658472,1.704028,1.643056,1.687917,1.643367,54424800
2009-09-10,1.689306,1.741944,1.663194,1.739306,1.693400,64742400
2009-09-11,1.748333,1.764167,1.713889,1.736806,1.690966,66132000
2009-09-14,1.693194,1.771806,1.693194,1.766111,1.719498,56160000
2009-09-15,1.773056,1.805417,1.737778,1.786250,1.739105,76881600
2009-09-16,1.803750,1.867083,1.786389,1.865556,1.816318,71560800
2009-09-17,1.860694,1.905000,1.828056,1.856667,1.807663,96328800
2009-09-18,1.883333,1.883750,1.845139,1.862083,1.812936,87868800
2009-09-21,1.818194,1.860833,1.807222,1.846389,1.797657,58125600
2009-09-22,1.880833,1.894583,1.855556,1.881111,1.831462,56448000
2009-09-23,1.893889,1.929167,1.823056,1.830694,1.782376,108964800
2009-09-24,1.844583,1.854583,1.747917,1.770694,1.724784,98856000
2009-09-25,1.758750,1.787083,1.724444,1.743472,1.698268,92296800
2009-09-28,1.761806,1.847222,1.761806,1.834306,1.786746,62006400
2009-09-29,1.846528,1.871667,1.807917,1.823889,1.776600,75484800
2009-09-30,1.840139,1.841944,1.748611,1.799861,1.753195,139968000
2009-10-01,1.786667,1.786667,1.663333,1.663750,1.620613,97999200
2009-10-02,1.616806,1.669583,1.616250,1.645278,1.602620,89899200
2009-10-05,1.660417,1.727917,1.645417,1.714028,1.669587,49507200
2009-10-06,1.751389,1.816667,1.749583,1.789444,1.743048,73785600
2009-10-07,1.774861,1.808194,1.766389,1.803194,1.756441,55281600
2009-10-08,1.842917,1.871806,1.820417,1.846806,1.798923,74073600
2009-10-09,1.845972,1.876806,1.831944,1.876389,1.827739,33156000
2009-10-12,1.905139,1.920139,1.878333,1.900556,1.851279,29340000
2009-10-13,1.883472,1.897361,1.850417,1.890417,1.841403,68198400
2009-10-14,1.953611,1.990972,1.929444,1.986528,1.935022,78012000
2009-10-15,1.957222,2.005694,1.953333,2.004444,1.952473,90856800
2009-10-16,1.957361,1.981389,1.924861,1.961528,1.910670,91382400
2009-10-19,1.970833,2.027778,1.953750,2.010000,1.957885,77212800
2009-10-20,2.019722,2.019722,1.948750,1.980139,1.928798,87177600
2009-10-21,1.966111,2.036389,1.920417,1.925972,1.876036,77695200
2009-10-22,1.922222,2.000000,1.884722,1.980972,1.929610,75686400
2009-10-23,2.002917,2.004306,1.890000,1.915139,1.865484,115192800
2009-10-26,1.919861,1.978750,1.835694,1.847639,1.799734,88538400
2009-10-27,1.859028,1.876250,1.813472,1.825139,1.777817,97394400
